water_point,site,period_year,photo_date,image_id,days_not_operational,days_illegible,confidence,validated
670401615,Fort-Dauphin,2026,2026-02-17,bbb9f57a73bf4394bffca0e8911a05e0,8,8,0.218,NO
670401684,Fort-Dauphin,2025,2025-12-12,33610891bf1f411e8411f00ae733aacf,4,0,0.337,NO
670401691,Fort-Dauphin,2025,2025-09-21,9dde237c81dc4f02b8840cd26fc93873,6,12,0.236,NO
670401763,Fort-Dauphin,2026,2026-02-20,db3745663b124e11bd66aa671f7dc4be,3,1,0.214,NO
670401990,Fort-Dauphin,2026,2026-03-11,e82b0afe20ab4500b7324736ef800332,8,3,0.319,NO
670402094,Fort-Dauphin,2026,2026-01-28,6805825f2434473f84a4536a9005246f,33,7,0.240,NO
670402214,Fort-Dauphin,2026,2026-06-06,f006efc908fc429d9e35e2b01eb56c14,6,5,0.219,NO
698770982,Maroantsetra,2025,2025-12-14,3d9cbf8cca1845f6b744ac026350c886,12,14,0.380,NO
698770999,Maroantsetra,2025,2025-12-10,af24d459b148425d9512efb130bbc16b,11,7,0.395,NO
698771000,Maroantsetra,2025,2025-12-14,1f710e52181546ee9fd7f9ad64730a61,9,5,0.372,NO
698771031,Maroantsetra,2025,2025-12-14,15736dfb58c64c9c93bfde03d73549b5,17,8,0.389,NO
698771048,Maroantsetra,2025,2025-12-14,9ae58005a9f74e579165098491e3675e,14,10,0.476,NO
698771062,Maroantsetra,2025,2025-12-11,f8f94cadef2d4cf393cc8b41b1cdabfd,14,11,0.434,NO
698771086,unmapped,2026,2026-01-31,2d377d578433478ebcc29bf9aecf035a,28,3,0.487,NO
698771110,Maroantsetra,2025,2025-12-12,ceb6f758e96c47c8942d914cc5d31854,64,50,0.266,NO
698771141,Maroantsetra,2025,2025-12-15,8818be577a67414da55e2859b468c05c,19,8,0.460,NO
698771141,Maroantsetra,2026,2026-05-25,47ebd079b8c64090b83bd1f5424e19fb,17,22,0.172,NO
698771196,Maroantsetra,2025,2025-12-17,7efb92dd3bac408b9cd3e289dc8aa64c,8,6,0.515,NO
698771206,Maroantsetra,2026,2026-03-20,7bdd5c4297e14c7fa779171843f5c8a3,15,10,0.443,NO
698771244,Maroantsetra,2025,2025-12-19,6ca4b969a9264119af547d31f186e9c4,15,10,0.112,NO
698771275,Maroantsetra,2025,2025-12-23,c03044842b574e1d88f621a5efb720c4,12,13,0.467,NO
698771873,Maroantsetra,2025,2025-12-20,8fb6d9b55181488f80695536b9248fb8,5,2,0.273,NO
698771873,Maroantsetra,2026,2026-02-09,774b5e21b8444d639794869d3fdf8ba7,10,11,0.363,NO
698771880,Maroantsetra,2025,2025-12-20,622caabf5dea494287b813eb15e71811,10,5,0.143,NO
698771897,Maroantsetra,2026,2026-01-11,d257bcf1342d4e05869608ee9d257147,11,2,0.271,NO
698771907,Maroantsetra,2026,2026-01-11,1e9279e39ac24c2ea9114b93b304b987,12,3,0.390,NO
698771914,Maroantsetra,2026,2026-01-11,49339b28f98e4a52ab53037d462b49d8,3,1,0.227,NO
698771938,Maroantsetra,2026,2026-01-12,07bf1bc96b8c49ca977de4f8f943741c,7,2,0.429,NO
698771945,Maroantsetra,2026,2026-01-14,34008bfb0af145bdab2c502743502901,24,5,0.315,NO
698771952,Maroantsetra,2026,2026-01-14,e64071b3dae7432e81ea578380771a4f,14,1,0.354,NO
698771976,Maroantsetra,2026,2026-01-19,d04f1b7d2e5e4ffb88f6f68259916163,23,9,0.337,NO
698771983,Maroantsetra,2026,2026-01-19,182297b3fcf24690994ad9258c0b501f,10,3,0.435,NO
698772001,Maroantsetra,2026,2026-01-15,e9c26d924f8d46ea928ffd78fc437ebd,26,12,0.366,NO
698772018,Maroantsetra,2026,2026-01-21,35b3bb11e8864b368a14d9c4e8ef1288,9,2,0.199,NO
698772032,Maroantsetra,2026,2026-01-27,b414ad8caeb842d48fc4adcc7fabf69d,17,1,0.514,NO
698772056,Maroantsetra,2026,2026-01-31,520cecad1a5a4eda8871b3725197c782,14,0,0.375,NO
698772063,Maroantsetra,2026,2026-01-27,e74dc8628ce54c5e8848e306395d8ce3,22,9,0.401,NO
698772087,Maroantsetra,2026,2026-01-26,51b553c4d0c6405fbd48dfb38c8f0f2a,18,7,0.524,NO
698772104,Maroantsetra,2026,2026-02-03,441715080ac5487888ef6426cc9a0853,22,6,0.316,NO
698772111,Maroantsetra,2026,2026-02-05,1e33013cdab243bdacfdf916eabc8163,9,22,0.305,NO
698772142,Maroantsetra,2026,2026-02-02,85854aa9d51c4a67a9785deef9fc6284,16,27,0.323,NO
698772166,Maroantsetra,2026,2026-02-06,e3b4720a663545ec9b475d8c340f95e9,8,1,0.217,NO
698772173,Maroantsetra,2026,2026-02-06,301bce72055246f7a0f3e62fabfec866,13,8,0.220,NO
698772214,Maroantsetra,2026,2026-02-06,cb90af4580e9413992869db453a937c0,13,19,0.286,NO
698772238,Maroantsetra,2026,2026-02-05,03cd20c0ba0d4525aa5114267f99fa35,14,27,0.140,NO
698772283,Maroantsetra,2026,2026-02-03,522a6c9ce6fe497a835281cd1bb6b8f3,17,10,0.424,NO
698772317,Maroantsetra,2026,2026-02-12,ac6605d5b5a54974805698953ea00519,12,21,0.182,NO
698772348,Maroantsetra,2026,2026-02-13,6a89bbb5f1d344509ea40550c6ce2f9b,9,86,0.210,NO
698773631,Maroantsetra,2026,2026-04-21,52efd47b43a74531ad83faf557f908f4,6,6,0.236,NO
698773648,Maroantsetra,2026,2026-02-17,a114533ea142405bb8a4e8bb91b1505c,15,28,0.258,NO
698795345,Maroantsetra,2025,2025-09-27,2d92a994f6924bab8318b284037de9af,17,6,0.409,NO
698795345,Maroantsetra,2026,2026-09-11,fce3a8e3a8ef44e9ac008c3a15f43787,10,4,0.232,NO
699595632,Maroantsetra,2026,2026-03-12,f62a1b09178042f78b4550b7f34e0284,6,13,0.132,NO
699595649,Maroantsetra,2026,2026-05-19,55be5315b6be41779919df949e1ae9da,1,2,0.688,NO
699595711,Maroantsetra,2026,2026-03-12,ed3d0478057d4c6aa04a5b7e9892a252,5,13,0.295,NO
699595728,Maroantsetra,2026,2026-03-12,0c282eb9f80143a2b3fb65110c2390d4,7,84,0.192,NO
699595759,Maroantsetra,2026,2026-03-12,0c3743c24a734653991fa8edba1efb5c,9,3,0.211,NO
699595845,Maroantsetra,2025,2025-12-25,03e486184f014ce6840d1c85897d09cd,0,1,0.145,NO
699595845,Maroantsetra,2026,2026-07-01,cc0d5fe1b8d9412fb1d0a17d20ebb1e5,3,2,0.321,NO
