water_point,site,calendar_images,non_calendar_images,category,field_action,first_photo,last_photo,visits,only_portrait_field,questions
742893874,Fort-Dauphin,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2026-02-11,2026-02-11,1,no,2.15.5 x1; 2.15.6 x1
742894370,Fort-Dauphin,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2026-02-13,2026-02-13,1,no,2.15.5 x1; 2.15.6 x1
742895209,Fort-Dauphin,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2026-02-18,2026-02-18,1,no,2.15.5 x1; 2.15.6 x1
742896901,Maroantsetra,1,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-09-03,2025-09-03,1,yes,2.15.5 x1
742897483,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-09-09,2025-09-09,1,no,2.15.5 x1; 2.15.6 x1
742897445,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-09-10,2025-09-10,1,no,2.15.5 x1; 2.15.6 x1
742897531,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-09-11,2025-09-11,1,no,2.15.5 x1; 2.15.6 x1
742897593,Maroantsetra,3,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-09-11,2025-09-11,1,no,2.15.5 x1; 2.15.6 x2
742897603,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-09-18,2025-09-18,1,no,2.15.5 x1; 2.15.6 x1
742897146,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-09-26,2025-09-26,1,no,2.15.5 x1; 2.15.6 x1
742897225,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-09-27,2025-09-27,1,no,2.15.5 x1; 2.15.6 x1
742896279,Maroantsetra,3,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-10-10,2025-10-10,1,no,2.15.5 x1; 2.15.6 x2
742896396,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-10-10,2025-10-10,1,no,2.15.5 x1; 2.15.6 x1
742896451,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-10-10,2025-10-10,1,no,2.15.5 x1; 2.15.6 x1
742896626,Maroantsetra,3,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-10-14,2025-10-14,1,no,2.15.5 x1; 2.15.6 x2
742896705,Maroantsetra,2,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-10-22,2025-10-22,1,no,2.15.5 x1; 2.15.6 x1
742896987,Maroantsetra,3,0,"calendar photographed, not readable","re-photograph the calendar: flat, filled frame, even light",2025-10-30,2025-10-30,1,no,2.15.5 x1; 2.15.6 x2
