contact_n,image_id,water_point,question,sheet,reason
11,0242d5e4a0364fc784d5c006a78f9689,742895993,1.3.1.3 ,1,signboard
13,02dce8b6aee348539d4b0cc4bed34f61,742896406,2.15.6 d,1,signboard
28,04c336bb540f4473ace47465de5e8ee5,833032764,2.15.5 c,1,signboard
46,07d1904ef6264a6095b2c747204251c6,742896619,2.15.5 c,1,pump
57,09c5faa8321046f8a7c2fc131ab543f3,742896437,2.15.6 d,1,signboard
62,0a9c7f1ec5544635b6b02275f002a913,742896808,2.15.5 c,1,pump
69,0c15ae5e715244ba9c83392a4bd28913,698771969,2.15.6 d,2,signboard
107,1471f648e2704eb28a720002a102451c,742896918,2.15.6 d,2,pump
116,153fa25eb70640e88c6de732fc29e02e,825513589,2.15.5 c,2,bottle_on_pump
175,1f02774e423246b3b469c7a521eb5033,814009107,2.15.5 c,3,signboard
197,230c3d2a230d4449bba9c51ac4e25a82,698772094,2.15.6 d,4,signboard
347,3f4d6acc82de4813851f96898836df87,814009107,2.15.6 d,6,pump
457,5278a60bc7c940bd9dd4868147cf78cb,742896011,2.15.5 c,8,signboard
488,57d2ad4adf284d588471f8537a01ecd5,792699587,2.15.6 d,8,pump
513,5c901f7faca8407a9279388f269949b9,742897672,2.15.6 d,9,signboard
529,5eec96481d3443669dba88755759b705,742895986,1.3.1.3 ,9,signboard
605,6bbd509c2684485ab7106959987584a8,742895852,2.15.5 c,10,signboard
627,6f2f6dbf683c4af58208778963f940ac,698772245,2.15.6 d,10,pump
648,739683ded4b8443ebd91c8cd13f79ab1,742897744,1.3.1.3 ,11,signboard
774,8a70b346e12c41b28207872029c7dfba,698772025,2.15.6 d,13,signboard
844,9616721afd2144cba635df8b18f22c42,825513589,2.15.6 d,14,document
916,a1385c0723fd42aba0440fdcfcc9cd3e,742895986,1.3.1.3 ,15,document
934,a50905d4ccda41f1a10332061962f2e7,742895405,2.15.5 c,15,document
1010,b1ffb887581f4992ac5285085d02037b,742897634,2.15.5 c,16,pump
1036,b813dbfa4d1746ec9f885fa407db44f1,699596860,2.15.6 d,17,pump
1077,bf782b5473bf4a8bb5acde4a47b4eea5,742897919,2.15.6 d,17,document
1097,c1cabe58e6a040f691bf44999ea4fc36,742894442,2.15.5 c,18,other
1177,d37f559fc936478299ca207947bb6d7d,742897397,2.15.5 c,19,other
1188,d5da1978b9e44da0b9240faec3d08dff,699596767,2.15.6 d,19,signboard
1219,da2ac072b6604c3ea4bf22aa77099d9b,905251341,2.15.6 d,20,document
1232,db838c74491445118ea1b378421ee88b,905251358,2.15.5 c,20,other
1256,df92ecce7b534bb38a7abcf308761cba,699596767,2.15.5 c,20,signboard
1269,e20c33a518374b789f6001cb28001d81,742896169,2.15.5 c,20,signboard
1272,e240216764de4fffbda1bb159a659724,786871997,2.15.5 c,20,other
1309,e81e2ca7a4964741a657c44c63c494e7,742897782,2.15.5 c,21,other
1311,e8658b109c654adaa1447cfb8928c6a8,742897971,2.15.6 d,21,signboard
1419,fa4950f658a44e8b89fed7920b960994,742895687,2.15.5 c,23,other
