water_point,site,sheet_year,sheets,first_photo,last_photo,days_covered,days_in_year,fraction_covered
670401615,Fort-Dauphin,2026,1,2025-09-21,2025-09-21,0,365,0.0
670401684,Fort-Dauphin,2025,1,2025-12-12,2025-12-12,346,365,0.9479
670401684,Fort-Dauphin,2026,2,2025-09-21,2026-03-13,72,365,0.1973
670401691,Fort-Dauphin,2025,2,2025-09-21,2025-12-12,346,365,0.9479
670401763,Fort-Dauphin,2026,1,2026-02-20,2026-02-20,51,365,0.1397
670401990,Fort-Dauphin,2026,2,2026-03-11,2026-09-10,253,365,0.6932
670402094,Fort-Dauphin,2026,1,2026-01-28,2026-01-28,28,365,0.0767
670402214,Fort-Dauphin,2026,1,2026-06-06,2026-06-06,157,365,0.4301
698770999,Maroantsetra,2024,1,2025-12-10,2025-12-10,366,366,1.0
698770999,Maroantsetra,2025,1,2025-12-10,2025-12-10,344,365,0.9425
698771000,Maroantsetra,2024,1,2025-12-14,2025-12-14,366,366,1.0
698771000,Maroantsetra,2025,1,2025-12-14,2025-12-14,348,365,0.9534
698771086,unmapped,2024,1,2026-01-31,2026-01-31,366,366,1.0
698771086,unmapped,2025,1,2026-01-31,2026-01-31,365,365,1.0
698771110,Maroantsetra,2025,1,2025-12-12,2025-12-12,346,365,0.9479
698771172,Maroantsetra,2024,1,2025-12-17,2025-12-17,366,366,1.0
698771196,Maroantsetra,2024,1,2025-12-17,2025-12-17,366,366,1.0
698771196,Maroantsetra,2025,1,2025-12-17,2025-12-17,351,365,0.9616
698771237,Maroantsetra,2024,1,2025-12-20,2025-12-20,366,366,1.0
698771237,Maroantsetra,2025,1,2025-12-20,2025-12-20,354,365,0.9699
698771244,Maroantsetra,2025,1,2025-12-19,2025-12-19,353,365,0.9671
698771268,Maroantsetra,2024,1,2026-02-27,2026-02-27,366,366,1.0
698771268,Maroantsetra,2025,1,2026-02-27,2026-02-27,365,365,1.0
698771275,Maroantsetra,2024,1,2025-12-23,2025-12-23,366,366,1.0
698771275,Maroantsetra,2025,2,2025-12-16,2025-12-23,357,365,0.9781
698771859,Maroantsetra,2026,1,2026-09-10,2026-09-10,253,365,0.6932
698771873,Maroantsetra,2024,1,2026-08-06,2026-08-06,366,366,1.0
698771873,Maroantsetra,2025,3,2025-12-20,2026-08-06,365,365,1.0
698771880,Maroantsetra,2024,1,2025-12-20,2025-12-20,366,366,1.0
698771880,Maroantsetra,2025,1,2025-12-20,2025-12-20,354,365,0.9699
698771897,Maroantsetra,2024,1,2026-01-11,2026-01-11,366,366,1.0
698771897,Maroantsetra,2025,1,2026-01-11,2026-01-11,365,365,1.0
698771907,Maroantsetra,2025,1,2026-01-11,2026-01-11,365,365,1.0
698771914,Maroantsetra,2025,1,2026-01-11,2026-01-11,365,365,1.0
698771938,Maroantsetra,2024,2,2026-01-12,2026-01-12,366,366,1.0
698771938,Maroantsetra,2025,1,2026-01-12,2026-01-12,365,365,1.0
698771945,Maroantsetra,2024,1,2026-01-14,2026-01-14,366,366,1.0
698771945,Maroantsetra,2025,1,2026-01-14,2026-01-14,365,365,1.0
698771976,Maroantsetra,2024,1,2026-01-19,2026-01-19,366,366,1.0
698771976,Maroantsetra,2025,1,2026-01-19,2026-01-19,365,365,1.0
698771976,Maroantsetra,2026,1,2026-05-19,2026-05-19,139,365,0.3808
698771976,Maroantsetra,2027,1,2026-05-19,2026-05-19,0,365,0.0
698771983,Maroantsetra,2024,1,2026-02-24,2026-02-24,366,366,1.0
698771983,Maroantsetra,2025,2,2026-01-19,2026-02-24,365,365,1.0
698772001,Maroantsetra,2024,1,2026-01-15,2026-01-15,366,366,1.0
698772001,Maroantsetra,2025,1,2026-01-15,2026-01-15,365,365,1.0
698772018,Maroantsetra,2025,1,2026-01-21,2026-01-21,365,365,1.0
698772032,Maroantsetra,2025,1,2026-01-27,2026-01-27,365,365,1.0
698772056,Maroantsetra,2024,1,2026-01-31,2026-01-31,366,366,1.0
