disposition,site,contractor,folder,lat,lon,in_128,in_111,list111_site,list111_district,list111_status,distance_m,in_mwater,mwater_code,mwater_dist_m,evidence
duplicate,ANDRANOMBILO I,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.540444,43.634929,yes,yes,Andranombilo I,Morombe,DEX/PGES,0.0,no,,122441.9,within 0 m of 111-list site 'Andranombilo I'; shares coordinates with another 128-file site
duplicate,ANDRAVALAMENGOKY,RANO AN'ALA B,RANO AN'ALA B (MUS COMMUNAUTAIRE ETUDE 23),-21.540444,43.634929,yes,yes,Andravalamengoky,Morombe,DEX/PGES,0.0,no,,122441.9,within 0 m of 111-list site 'Andravalamengoky'; shares coordinates with another 128-file site
matched,ABORANO,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.714172,43.65725,yes,yes,Aborano,TOLIARA II,Construction,0.6,no,,97776.2,within 1 m of 111-list site 'Aborano'
matched,AMBAHIJA II,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.553608,43.630099,yes,yes,Ambahija II,TOLIARA II,Construction,1.6,no,,96887.0,within 2 m of 111-list site 'Ambahija II'
matched,AMBOLOMAILAKY,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-23.052795,43.581693,yes,yes,Ambolomailaky,TOLIARA II,Construction,2.7,no,,119687.0,within 3 m of 111-list site 'Ambolomailaky'
matched,AMBORY BAS,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.993385,45.436656,yes,yes,Ambory Bas,Antanimora,Construction,1.0,no,,10970.9,within 1 m of 111-list site 'Ambory Bas'
matched,AMPARE,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-23.443492,43.890575,yes,yes,Ampare,TOLIARA II,Construction,0.0,no,,126505.3,within 0 m of 111-list site 'Ampare'
matched,AMPASIKIBO II,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.528786,43.636839,yes,yes,Ampasikibo II,TOLIARA II,Construction,0.0,no,,95441.6,within 0 m of 111-list site 'Ampasikibo II'
matched,AMPIHAMY BETAMENAKY,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.679814,43.638964,yes,yes,Ampihamy Betamenaky,TOLIARA II,Construction,0.0,no,,98574.3,within 0 m of 111-list site 'Ampihamy Betamenaky'
matched,AMPOZA,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.081319,43.848067,yes,yes,AMPOZA,MOROMBE,Construction,0.0,no,,74045.6,within 0 m of 111-list site 'AMPOZA'
matched,ANALAMISAMPY EPP,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.485747,43.652228,yes,yes,Analamisampy Epp,TOLIARA II,Construction,0.0,no,,92717.3,within 0 m of 111-list site 'Analamisampy Epp'
matched,ANKILEMANITSY,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.657656,45.491875,yes,yes,Ankilemanintsy,Antanimora Atsimo,Construction,195.8,no,,1539.3,within 196 m of 111-list site 'Ankilemanintsy'
matched,ANKILIABO CENTRAL,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.780125,43.584578,yes,yes,Ankiliabo Central,TOLIARA II,Construction,0.0,no,,107121.5,within 0 m of 111-list site 'Ankiliabo Central'
matched,ANKILIMILOPAKA,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.601392,45.718373,yes,yes,Ankilomilopaka,Antanimora Atsimo,Construction,90.1,no,,20687.3,within 90 m of 111-list site 'Ankilomilopaka'
matched,ANKILIMIRIORIO ATSIMO,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.646733,43.631817,yes,yes,Ankilimiriorio Atsimo,TOLIARA II,Construction,0.0,no,,98459.3,within 0 m of 111-list site 'Ankilimiriorio Atsimo'
matched,ANTAIVAO CENTRE,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-21.657772,43.692583,yes,yes,Antanivao Centre,MOROMBE,Construction,0.0,no,,109816.8,within 0 m of 111-list site 'Antanivao Centre'
matched,ANTANILE,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-23.461311,44.820353,yes,yes,ANTANILE,BENENITRA,Construction,0.0,no,,76805.2,within 0 m of 111-list site 'ANTANILE'
matched,ANTATEZA,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.802772,43.636075,yes,yes,Antateza,TOLIARA II,Construction,0.3,no,,102939.5,within 0 m of 111-list site 'Antateza'
matched,ANTRANOLAHATRA AVARATRA,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.811142,43.631608,yes,yes,ANTRANOLAHATRA AVARATRA,MOROMBE,Construction,0.0,no,,103674.8,within 0 m of 111-list site 'ANTRANOLAHATRA AVARATRA'
matched,ANTSEVA,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.630967,43.631461,yes,yes,Antseva,TOLIARA II,Construction,0.0,no,,98147.5,within 0 m of 111-list site 'Antseva'
matched,BELITSAKY,2ADH,2ADH (MUS CLASSIQUE CONSTRUCTION 23),-22.503044,43.643947,yes,yes,BELITSAKY,TOLIARA II,Construction,0.0,no,,93998.0,within 0 m of 111-list site 'BELITSAKY'
matched,IFARANTSA CENTRE II,2ADH,2ADH (MUS COMMUNAUTAIRE CONSTRUCTION 12),-24.19687,45.712665,yes,yes,Ifarantsa Centre II,Bekily,Construction,1.7,yes,1137611493,98.3,within 2 m of 111-list site 'Ifarantsa Centre II'
