site,day,stop,pump_id,commune,fokontany,pump_type,days_since_last_visit,last_status,people,lat,lon,day_road_km,day_hours
Maroantsetra,1,1,699597610,Ankofa,Ambodiadabo,Canzee,286,ok,141,-15.4186,49.691133,21,7.2
Maroantsetra,1,2,699597641,Ankofa,Ambodiadabo,Canzee,never,ok,170,-15.419516,49.688665,21,7.2
Maroantsetra,1,3,699597658,Ankofa,Ambodiadabo,Canzee,529,ok,182,-15.420471,49.687922,21,7.2
Maroantsetra,1,4,699597665,Ankofa,Ambodiadabo,Canzee,235,ok,238,-15.419963,49.685931,21,7.2
Maroantsetra,1,5,699597696,Ankofa,Ambodiadabo,Canzee,never,ok,251,-15.420364,49.684403,21,7.2
Maroantsetra,1,6,699597720,Ankofa,Ambodiadabo,Canzee,493,ok,254,-15.419999,49.683727,21,7.2
Maroantsetra,1,7,699597768,Ankofa,Ambodiadabo,Canzee,338,ok,242,-15.420416,49.682415,21,7.2
Maroantsetra,1,8,699597737,Ankofa,Ambodiadabo,Canzee,500,ok,254,-15.419119,49.682513,21,7.2
Maroantsetra,2,1,699597775,Ankofa,Ambodiadabo,Canzee,never,ok,234,-15.42019,49.681067,37,7.8
Maroantsetra,2,2,699597799,Ankofa,Ambodiadabo,Canzee,280,ok,213,-15.419636,49.678722,37,7.8
Maroantsetra,2,3,699597809,Ankofa,Ambodiadabo,Canzee,282,ok,193,-15.418664,49.676666,37,7.8
Maroantsetra,2,4,699597854,Ankofa,Sadikamonjo,Canzee,never,ok,190,-15.423003,49.676655,37,7.8
Maroantsetra,2,5,699597823,Ankofa,Sadikamonjo,Canzee,never,unknown,199,-15.423406,49.678082,37,7.8
Maroantsetra,2,6,699597861,Ankofa,Mahajinavola,Canzee,never,ok,177,-15.412225,49.667947,37,7.8
Maroantsetra,2,7,699597885,Ankofa,Mahajinavola,Canzee,never,ok,177,-15.411679,49.667832,37,7.8
Maroantsetra,2,8,699597892,Ankofa,Mahajinavola,Canzee,never,ok,186,-15.410369,49.667316,37,7.8
Maroantsetra,3,1,699597919,Ankofa,Mahajinavola,Canzee,never,ok,197,-15.409938,49.667143,28,7.8
Maroantsetra,3,2,699597933,Ankofa,Mahajinavola,Canzee,never,unknown,205,-15.4096,49.667022,28,7.8
Maroantsetra,3,3,699597940,Ankofa,Mahajinavola,Canzee,294,ok,237,-15.408443,49.666731,28,7.8
Maroantsetra,3,4,699597957,Ankofa,Mahajinavola,Canzee,never,ok,255,-15.407696,49.666416,28,7.8
Maroantsetra,3,5,699597964,Ankofa,Talanaro,Canzee,never,unknown,323,-15.405438,49.662805,28,7.8
Maroantsetra,3,6,699597988,Ankofa,Talanaro,Canzee,286,ok,208,-15.403592,49.65936,28,7.8
Maroantsetra,3,7,699598013,Ankofa,Ankofa,Canzee,never,ok,346,-15.399813,49.651685,28,7.8
Maroantsetra,3,8,743345808,Ankofa,Ankofa,Canzee,never,unknown,297,-15.398566,49.650192,28,7.8
Maroantsetra,4,1,744500936,Ankofa,Ankofa,Canzee,never,unknown,277,-15.399058,49.649451,36,7.3
Maroantsetra,4,2,754036928,Ankofa,Ankofa,Canzee,never,unknown,259,-15.397327,49.648871,36,7.3
Maroantsetra,4,3,743644978,Ankofa,Ankofa,Canzee,never,unknown,253,-15.397368,49.648489,36,7.3
Maroantsetra,4,4,763107680,Ankofa,Ankofa,Canzee,457,ok,247,-15.396748,49.648185,36,7.3
Maroantsetra,4,5,766720695,Ankofa,Ankofa,Canzee,382,ok,231,-15.396425,49.646743,36,7.3
Maroantsetra,4,6,765258739,Ankofa,Ankofa,Canzee,never,ok,221,-15.394587,49.646387,36,7.3
Maroantsetra,4,7,833032506,Ankofa,Ankofa,Canzee,never,ok,220,-15.394861,49.645602,36,7.3
Maroantsetra,5,1,765258746,Ankofa,Ankofa,Canzee,never,ok,210,-15.393394,49.645061,67,7.6
Maroantsetra,5,2,833032513,Ankofa,Ankofa,Canzee,never,unknown,186,-15.392097,49.643761,67,7.6
Maroantsetra,5,3,742896114,Anjanazana,Ankadimbazaha,Canzee,280,ok,74,-15.396084,49.739541,67,7.6
Maroantsetra,5,4,742896066,Anjanazana,Ankadimbazaha,Canzee,280,ok,85,-15.394432,49.740603,67,7.6
Maroantsetra,5,5,742896097,Anjanazana,Ankadimbazaha,Canzee,282,ok,84,-15.39431,49.740453,67,7.6
Maroantsetra,5,6,742896059,Anjanazana,Ankadimbazaha,Canzee,283,ok,87,-15.393495,49.740939,67,7.6
Maroantsetra,6,1,742896107,Anjanazana,Ankadimbazaha,Canzee,282,ok,96,-15.393288,49.741827,39,7.8
Maroantsetra,6,2,742896080,Anjanazana,Ankadimbazaha,Canzee,280,ok,95,-15.392411,49.741792,39,7.8
Maroantsetra,6,3,742896073,Anjanazana,Ankadimbazaha,Canzee,280,ok,120,-15.390345,49.743363,39,7.8
